Code,Area,Year,Recycling_Rates
E09000001,City of London,2003/04,8
E09000002,Barking and Dagenham,2003/04,5
E09000003,Barnet,2003/04,16
E09000004,Bexley,2003/04,21
E09000005,Brent,2003/04,10
E09000006,Bromley,2003/04,20
E09000007,Camden,2003/04,19
E09000008,Croydon,2003/04,14
E09000009,Ealing,2003/04,15
E09000010,Enfield,2003/04,16
E09000011,Greenwich,2003/04,12
E09000012,Hackney,2003/04,6
E09000013,Hammersmith and Fulham,2003/04,16
E09000014,Haringey,2003/04,9
E09000015,Harrow,2003/04,16
E09000016,Havering,2003/04,8
E09000017,Hillingdon,2003/04,34
E09000018,Hounslow,2003/04,20
E09000019,Islington,2003/04,7
E09000020,Kensington and Chelsea,2003/04,15
E09000021,Kingston upon Thames,2003/04,19
E09000022,Lambeth,2003/04,12
E09000023,Lewisham,2003/04,8
E09000024,Merton,2003/04,15
E09000025,Newham,2003/04,2
E09000026,Redbridge,2003/04,9
E09000027,Richmond upon Thames,2003/04,24
E09000028,Southwark,2003/04,7
E09000029,Sutton,2003/04,25
E09000030,Tower Hamlets,2003/04,5
E09000031,Waltham Forest,2003/04,12
E09000032,Wandsworth,2003/04,18
E09000033,Westminster,2003/04,11
E12000001,North East,2003/04,12
E12000002,North West,2003/04,14
E12000003,Yorkshire and the Humber,2003/04,15
E12000004,East Midlands,2003/04,19
E12000005,West Midlands,2003/04,16
E12000006,East,2003/04,23
E12000007,London,2003/04,13
E12000008,South East,2003/04,23
E12000009,South West,2003/04,21
E92000001,England,2003/04,18
E09000001,City of London,2004/05,14
E09000002,Barking and Dagenham,2004/05,14
E09000003,Barnet,2004/05,20
E09000004,Bexley,2004/05,30
E09000005,Brent,2004/05,14
E09000006,Bromley,2004/05,23
E09000007,Camden,2004/05,25
E09000008,Croydon,2004/05,13
E09000009,Ealing,2004/05,15
E09000010,Enfield,2004/05,24
E09000011,Greenwich,2004/05,19
E09000012,Hackney,2004/05,12
E09000013,Hammersmith and Fulham,2004/05,20
E09000014,Haringey,2004/05,14
E09000015,Harrow,2004/05,19
E09000016,Havering,2004/05,16
E09000017,Hillingdon,2004/05,27
E09000018,Hounslow,2004/05,17
E09000019,Islington,2004/05,11
E09000020,Kensington and Chelsea,2004/05,18
E09000021,Kingston upon Thames,2004/05,18
E09000022,Lambeth,2004/05,16
E09000023,Lewisham,2004/05,10
E09000024,Merton,2004/05,20
E09000025,Newham,2004/05,6
E09000026,Redbridge,2004/05,16
E09000027,Richmond upon Thames,2004/05,24
E09000028,Southwark,2004/05,11
E09000029,Sutton,2004/05,28
E09000030,Tower Hamlets,2004/05,7
E09000031,Waltham Forest,2004/05,18
E09000032,Wandsworth,2004/05,17
E09000033,Westminster,2004/05,15
E12000001,North East,2004/05,15
E12000002,North West,2004/05,19
E12000003,Yorkshire and the Humber,2004/05,19
E12000004,East Midlands,2004/05,26
E12000005,West Midlands,2004/05,20
E12000006,East,2004/05,30
E12000007,London,2004/05,18
E12000008,South East,2004/05,26
E12000009,South West,2004/05,27
E92000001,England,2004/05,23
E09000001,City of London,2005/06,18
E09000002,Barking and Dagenham,2005/06,17
E09000003,Barnet,2005/06,27
E09000004,Bexley,2005/06,38
E09000005,Brent,2005/06,20
E09000006,Bromley,2005/06,27
E09000007,Camden,2005/06,27
E09000008,Croydon,2005/06,16
E09000009,Ealing,2005/06,19
E09000010,Enfield,2005/06,27
E09000011,Greenwich,2005/06,22
E09000012,Hackney,2005/06,16
E09000013,Hammersmith and Fulham,2005/06,21
E09000014,Haringey,2005/06,19
E09000015,Harrow,2005/06,27
E09000016,Havering,2005/06,18
E09000017,Hillingdon,2005/06,28
E09000018,Hounslow,2005/06,19
E09000019,Islington,2005/06,18
E09000020,Kensington and Chelsea,2005/06,20
E09000021,Kingston upon Thames,2005/06,24
E09000022,Lambeth,2005/06,22
E09000023,Lewisham,2005/06,12
E09000024,Merton,2005/06,23
E09000025,Newham,2005/06,10
E09000026,Redbridge,2005/06,17
E09000027,Richmond upon Thames,2005/06,29
E09000028,Southwark,2005/06,15
E09000029,Sutton,2005/06,29
E09000030,Tower Hamlets,2005/06,9
E09000031,Waltham Forest,2005/06,22
E09000032,Wandsworth,2005/06,21
E09000033,Westminster,2005/06,18
E12000001,North East,2005/06,21
E12000002,North West,2005/06,24
E12000003,Yorkshire and the Humber,2005/06,22
E12000004,East Midlands,2005/06,32
E12000005,West Midlands,2005/06,25
E12000006,East,2005/06,34
E12000007,London,2005/06,21
E12000008,South East,2005/06,29
E12000009,South West,2005/06,31
E92000001,England,2005/06,27
E09000001,City of London,2006/07,28
E09000002,Barking and Dagenham,2006/07,21
E09000003,Barnet,2006/07,29
E09000004,Bexley,2006/07,40
E09000005,Brent,2006/07,22
E09000006,Bromley,2006/07,32
E09000007,Camden,2006/07,28
E09000008,Croydon,2006/07,20
E09000009,Ealing,2006/07,25
E09000010,Enfield,2006/07,30
E09000011,Greenwich,2006/07,24
E09000012,Hackney,2006/07,20
E09000013,Hammersmith and Fulham,2006/07,24
E09000014,Haringey,2006/07,25
E09000015,Harrow,2006/07,28
E09000016,Havering,2006/07,20
E09000017,Hillingdon,2006/07,31
E09000018,Hounslow,2006/07,20
E09000019,Islington,2006/07,24
E09000020,Kensington and Chelsea,2006/07,24
E09000021,Kingston upon Thames,2006/07,24
E09000022,Lambeth,2006/07,23
E09000023,Lewisham,2006/07,16
E09000024,Merton,2006/07,25
E09000025,Newham,2006/07,14
E09000026,Redbridge,2006/07,19
E09000027,Richmond upon Thames,2006/07,32
E09000028,Southwark,2006/07,18
E09000029,Sutton,2006/07,30
E09000030,Tower Hamlets,2006/07,12
E09000031,Waltham Forest,2006/07,28
E09000032,Wandsworth,2006/07,23
E09000033,Westminster,2006/07,20
E12000001,North East,2006/07,26
E12000002,North West,2006/07,29
E12000003,Yorkshire and the Humber,2006/07,27
E12000004,East Midlands,2006/07,36
E12000005,West Midlands,2006/07,29
E12000006,East,2006/07,38
E12000007,London,2006/07,23
E12000008,South East,2006/07,33
E12000009,South West,2006/07,37
E92000001,England,2006/07,31
E09000001,City of London,2007/08,33
E09000002,Barking and Dagenham,2007/08,20
E09000003,Barnet,2007/08,31
E09000004,Bexley,2007/08,42
E09000005,Brent,2007/08,21
E09000006,Bromley,2007/08,34
E09000007,Camden,2007/08,27
E09000008,Croydon,2007/08,23
E09000009,Ealing,2007/08,29
E09000010,Enfield,2007/08,28
E09000011,Greenwich,2007/08,31
E09000012,Hackney,2007/08,22
E09000013,Hammersmith and Fulham,2007/08,27
E09000014,Haringey,2007/08,26
E09000015,Harrow,2007/08,40
E09000016,Havering,2007/08,24
E09000017,Hillingdon,2007/08,34
E09000018,Hounslow,2007/08,22
E09000019,Islington,2007/08,26
E09000020,Kensington and Chelsea,2007/08,28
E09000021,Kingston upon Thames,2007/08,26
E09000022,Lambeth,2007/08,25
E09000023,Lewisham,2007/08,22
E09000024,Merton,2007/08,27
E09000025,Newham,2007/08,14
E09000026,Redbridge,2007/08,22
E09000027,Richmond upon Thames,2007/08,36
E09000028,Southwark,2007/08,20
E09000029,Sutton,2007/08,32
E09000030,Tower Hamlets,2007/08,13
E09000031,Waltham Forest,2007/08,30
E09000032,Wandsworth,2007/08,25
E09000033,Westminster,2007/08,23
E12000001,North East,2007/08,28
E12000002,North West,2007/08,33
E12000003,Yorkshire and the Humber,2007/08,31
E12000004,East Midlands,2007/08,42
E12000005,West Midlands,2007/08,33
E12000006,East,2007/08,41
E12000007,London,2007/08,25
E12000008,South East,2007/08,36
E12000009,South West,2007/08,40
E92000001,England,2007/08,35
E09000001,City of London,2008/09,34
E09000002,Barking and Dagenham,2008/09,25
E09000003,Barnet,2008/09,31
E09000004,Bexley,2008/09,51
E09000005,Brent,2008/09,28
E09000006,Bromley,2008/09,36
E09000007,Camden,2008/09,28
E09000008,Croydon,2008/09,28
E09000009,Ealing,2008/09,35
E09000010,Enfield,2008/09,27
E09000011,Greenwich,2008/09,42
E09000012,Hackney,2008/09,23
E09000013,Hammersmith and Fulham,2008/09,28
E09000014,Haringey,2008/09,22
E09000015,Harrow,2008/09,43
E09000016,Havering,2008/09,27
E09000017,Hillingdon,2008/09,35
E09000018,Hounslow,2008/09,24
E09000019,Islington,2008/09,28
E09000020,Kensington and Chelsea,2008/09,30
E09000021,Kingston upon Thames,2008/09,35
E09000022,Lambeth,2008/09,26
E09000023,Lewisham,2008/09,21
E09000024,Merton,2008/09,30
E09000025,Newham,2008/09,15
E09000026,Redbridge,2008/09,26
E09000027,Richmond upon Thames,2008/09,42
E09000028,Southwark,2008/09,21
E09000029,Sutton,2008/09,32
E09000030,Tower Hamlets,2008/09,19
E09000031,Waltham Forest,2008/09,28
E09000032,Wandsworth,2008/09,27
E09000033,Westminster,2008/09,23
E12000001,North East,2008/09,31
E12000002,North West,2008/09,37
E12000003,Yorkshire and the Humber,2008/09,34
E12000004,East Midlands,2008/09,44
E12000005,West Midlands,2008/09,37
E12000006,East,2008/09,44
E12000007,London,2008/09,29
E12000008,South East,2008/09,38
E12000009,South West,2008/09,42
E92000001,England,2008/09,38
E09000001,City of London,2009/10,35
E09000002,Barking and Dagenham,2009/10,33
E09000003,Barnet,2009/10,33
E09000004,Bexley,2009/10,51
E09000005,Brent,2009/10,29
E09000006,Bromley,2009/10,40
E09000007,Camden,2009/10,30
E09000008,Croydon,2009/10,32
E09000009,Ealing,2009/10,38
E09000010,Enfield,2009/10,31
E09000011,Greenwich,2009/10,35
E09000012,Hackney,2009/10,24
E09000013,Hammersmith and Fulham,2009/10,27
E09000014,Haringey,2009/10,25
E09000015,Harrow,2009/10,46
E09000016,Havering,2009/10,34
E09000017,Hillingdon,2009/10,41
E09000018,Hounslow,2009/10,33
E09000019,Islington,2009/10,29
E09000020,Kensington and Chelsea,2009/10,31
E09000021,Kingston upon Thames,2009/10,46
E09000022,Lambeth,2009/10,27
E09000023,Lewisham,2009/10,17
E09000024,Merton,2009/10,34
E09000025,Newham,2009/10,19
E09000026,Redbridge,2009/10,32
E09000027,Richmond upon Thames,2009/10,43
E09000028,Southwark,2009/10,22
E09000029,Sutton,2009/10,38
E09000030,Tower Hamlets,2009/10,26
E09000031,Waltham Forest,2009/10,28
E09000032,Wandsworth,2009/10,25
E09000033,Westminster,2009/10,24
E12000001,North East,2009/10,35
E12000002,North West,2009/10,38
E12000003,Yorkshire and the Humber,2009/10,37
E12000004,East Midlands,2009/10,46
E12000005,West Midlands,2009/10,40
E12000006,East,2009/10,46
E12000007,London,2009/10,32
E12000008,South East,2009/10,40
E12000009,South West,2009/10,43
E92000001,England,2009/10,40
E09000001,City of London,2010/11,39
E09000002,Barking and Dagenham,2010/11,28
E09000003,Barnet,2010/11,33
E09000004,Bexley,2010/11,51
E09000005,Brent,2010/11,33
E09000006,Bromley,2010/11,44
E09000007,Camden,2010/11,32
E09000008,Croydon,2010/11,34
E09000009,Ealing,2010/11,40
E09000010,Enfield,2010/11,32
E09000011,Greenwich,2010/11,37
E09000012,Hackney,2010/11,25
E09000013,Hammersmith and Fulham,2010/11,28
E09000014,Haringey,2010/11,28
E09000015,Harrow,2010/11,50
E09000016,Havering,2010/11,31
E09000017,Hillingdon,2010/11,43
E09000018,Hounslow,2010/11,35
E09000019,Islington,2010/11,30
E09000020,Kensington and Chelsea,2010/11,32
E09000021,Kingston upon Thames,2010/11,47
E09000022,Lambeth,2010/11,28
E09000023,Lewisham,2010/11,18
E09000024,Merton,2010/11,36
E09000025,Newham,2010/11,15
E09000026,Redbridge,2010/11,28
E09000027,Richmond upon Thames,2010/11,43
E09000028,Southwark,2010/11,25
E09000029,Sutton,2010/11,38
E09000030,Tower Hamlets,2010/11,25
E09000031,Waltham Forest,2010/11,27
E09000032,Wandsworth,2010/11,27
E09000033,Westminster,2010/11,25
E12000001,North East,2010/11,36
E12000002,North West,2010/11,40
E12000003,Yorkshire and the Humber,2010/11,40
E12000004,East Midlands,2010/11,46
E12000005,West Midlands,2010/11,42
E12000006,East,2010/11,49
E12000007,London,2010/11,32
E12000008,South East,2010/11,41
E12000009,South West,2010/11,47
E92000001,England,2010/11,41
E09000001,City of London,2011/12,37
E09000002,Barking and Dagenham,2011/12,30
E09000003,Barnet,2011/12,34
E09000004,Bexley,2011/12,54
E09000005,Brent,2011/12,37
E09000006,Bromley,2011/12,50
E09000007,Camden,2011/12,33
E09000008,Croydon,2011/12,38
E09000009,Ealing,2011/12,41
E09000010,Enfield,2011/12,35
E09000011,Greenwich,2011/12,39
E09000012,Hackney,2011/12,24
E09000013,Hammersmith and Fulham,2011/12,30
E09000014,Haringey,2011/12,26
E09000015,Harrow,2011/12,48
E09000016,Havering,2011/12,36
E09000017,Hillingdon,2011/12,43
E09000018,Hounslow,2011/12,35
E09000019,Islington,2011/12,32
E09000020,Kensington and Chelsea,2011/12,34
E09000021,Kingston upon Thames,2011/12,47
E09000022,Lambeth,2011/12,28
E09000023,Lewisham,2011/12,17
E09000024,Merton,2011/12,37
E09000025,Newham,2011/12,23
E09000026,Redbridge,2011/12,33
E09000027,Richmond upon Thames,2011/12,45
E09000028,Southwark,2011/12,27
E09000029,Sutton,2011/12,37
E09000030,Tower Hamlets,2011/12,27
E09000031,Waltham Forest,2011/12,27
E09000032,Wandsworth,2011/12,28
E09000033,Westminster,2011/12,25
E12000001,North East,2011/12,38
E12000002,North West,2011/12,43
E12000003,Yorkshire and the Humber,2011/12,42
E12000004,East Midlands,2011/12,47
E12000005,West Midlands,2011/12,43
E12000006,East,2011/12,50
E12000007,London,2011/12,34
E12000008,South East,2011/12,43
E12000009,South West,2011/12,47
E92000001,England,2011/12,43
E09000001,City of London,2012/13,36
E09000002,Barking and Dagenham,2012/13,27
E09000003,Barnet,2012/13,33
E09000004,Bexley,2012/13,54
E09000005,Brent,2012/13,43
E09000006,Bromley,2012/13,49
E09000007,Camden,2012/13,31
E09000008,Croydon,2012/13,44
E09000009,Ealing,2012/13,41
E09000010,Enfield,2012/13,39
E09000011,Greenwich,2012/13,40
E09000012,Hackney,2012/13,24
E09000013,Hammersmith and Fulham,2012/13,23
E09000014,Haringey,2012/13,32
E09000015,Harrow,2012/13,45
E09000016,Havering,2012/13,35
E09000017,Hillingdon,2012/13,43
E09000018,Hounslow,2012/13,35
E09000019,Islington,2012/13,31
E09000020,Kensington and Chelsea,2012/13,26
E09000021,Kingston upon Thames,2012/13,46
E09000022,Lambeth,2012/13,23
E09000023,Lewisham,2012/13,20
E09000024,Merton,2012/13,39
E09000025,Newham,2012/13,21
E09000026,Redbridge,2012/13,29
E09000027,Richmond upon Thames,2012/13,46
E09000028,Southwark,2012/13,30
E09000029,Sutton,2012/13,37
E09000030,Tower Hamlets,2012/13,28
E09000031,Waltham Forest,2012/13,31
E09000032,Wandsworth,2012/13,24
E09000033,Westminster,2012/13,22
E12000001,North East,2012/13,37
E12000002,North West,2012/13,44
E12000003,Yorkshire and the Humber,2012/13,43
E12000004,East Midlands,2012/13,47
E12000005,West Midlands,2012/13,44
E12000006,East,2012/13,49
E12000007,London,2012/13,34
E12000008,South East,2012/13,43
E12000009,South West,2012/13,47
E92000001,England,2012/13,43
E09000001,City of London,2013/14,39
E09000002,Barking and Dagenham,2013/14,25
E09000003,Barnet,2013/14,36
E09000004,Bexley,2013/14,55
E09000005,Brent,2013/14,41
E09000006,Bromley,2013/14,50
E09000007,Camden,2013/14,29
E09000008,Croydon,2013/14,42
E09000009,Ealing,2013/14,40
E09000010,Enfield,2013/14,39
E09000011,Greenwich,2013/14,39
E09000012,Hackney,2013/14,25
E09000013,Hammersmith and Fulham,2013/14,21
E09000014,Haringey,2013/14,36
E09000015,Harrow,2013/14,49
E09000016,Havering,2013/14,32
E09000017,Hillingdon,2013/14,43
E09000018,Hounslow,2013/14,35
E09000019,Islington,2013/14,33
E09000020,Kensington and Chelsea,2013/14,25
E09000021,Kingston upon Thames,2013/14,46
E09000022,Lambeth,2013/14,21
E09000023,Lewisham,2013/14,18
E09000024,Merton,2013/14,39
E09000025,Newham,2013/14,18
E09000026,Redbridge,2013/14,29
E09000027,Richmond upon Thames,2013/14,43
E09000028,Southwark,2013/14,34
E09000029,Sutton,2013/14,37
E09000030,Tower Hamlets,2013/14,28
E09000031,Waltham Forest,2013/14,33
E09000032,Wandsworth,2013/14,20
E09000033,Westminster,2013/14,21
E12000001,North East,2013/14,38
E12000002,North West,2013/14,46
E12000003,Yorkshire and the Humber,2013/14,44
E12000004,East Midlands,2013/14,46
E12000005,West Midlands,2013/14,42
E12000006,East,2013/14,49
E12000007,London,2013/14,34
E12000008,South East,2013/14,44
E12000009,South West,2013/14,47
E92000001,England,2013/14,43
E09000001,City of London,2014/15,34
E09000002,Barking and Dagenham,2014/15,23
E09000003,Barnet,2014/15,38
E09000004,Bexley,2014/15,54
E09000005,Brent,2014/15,35
E09000006,Bromley,2014/15,48
E09000007,Camden,2014/15,26
E09000008,Croydon,2014/15,40
E09000009,Ealing,2014/15,40
E09000010,Enfield,2014/15,39
E09000011,Greenwich,2014/15,34
E09000012,Hackney,2014/15,25
E09000013,Hammersmith and Fulham,2014/15,21
E09000014,Haringey,2014/15,37
E09000015,Harrow,2014/15,45
E09000016,Havering,2014/15,32
E09000017,Hillingdon,2014/15,44
E09000018,Hounslow,2014/15,35
E09000019,Islington,2014/15,33
E09000020,Kensington and Chelsea,2014/15,25
E09000021,Kingston upon Thames,2014/15,46
E09000022,Lambeth,2014/15,28
E09000023,Lewisham,2014/15,17
E09000024,Merton,2014/15,38
E09000025,Newham,2014/15,17
E09000026,Redbridge,2014/15,29
E09000027,Richmond upon Thames,2014/15,41
E09000028,Southwark,2014/15,35
E09000029,Sutton,2014/15,38
E09000030,Tower Hamlets,2014/15,28
E09000031,Waltham Forest,2014/15,36
E09000032,Wandsworth,2014/15,21
E09000033,Westminster,2014/15,19
E12000001,North East,2014/15,38
E12000002,North West,2014/15,47
E12000003,Yorkshire and the Humber,2014/15,44
E12000004,East Midlands,2014/15,45
E12000005,West Midlands,2014/15,42
E12000006,East,2014/15,49
E12000007,London,2014/15,33
E12000008,South East,2014/15,45
E12000009,South West,2014/15,48
E92000001,England,2014/15,44
E09000001,City of London,2015/16,31
E09000002,Barking and Dagenham,2015/16,19
E09000003,Barnet,2015/16,37
E09000004,Bexley,2015/16,52
E09000005,Brent,2015/16,36
E09000006,Bromley,2015/16,46
E09000007,Camden,2015/16,25
E09000008,Croydon,2015/16,38
E09000009,Ealing,2015/16,43
E09000010,Enfield,2015/16,36
E09000011,Greenwich,2015/16,35
E09000012,Hackney,2015/16,25
E09000013,Hammersmith and Fulham,2015/16,22
E09000014,Haringey,2015/16,36
E09000015,Harrow,2015/16,41
E09000016,Havering,2015/16,32
E09000017,Hillingdon,2015/16,44
E09000018,Hounslow,2015/16,34
E09000019,Islington,2015/16,29
E09000020,Kensington and Chelsea,2015/16,26
E09000021,Kingston upon Thames,2015/16,46
E09000022,Lambeth,2015/16,29
E09000023,Lewisham,2015/16,18
E09000024,Merton,2015/16,35
E09000025,Newham,2015/16,15
E09000026,Redbridge,2015/16,28
E09000027,Richmond upon Thames,2015/16,41
E09000028,Southwark,2015/16,35
E09000029,Sutton,2015/16,35
E09000030,Tower Hamlets,2015/16,27
E09000031,Waltham Forest,2015/16,35
E09000032,Wandsworth,2015/16,21
E09000033,Westminster,2015/16,17
E12000001,North East,2015/16,38
E12000002,North West,2015/16,47
E12000003,Yorkshire and the Humber,2015/16,44
E12000004,East Midlands,2015/16,45
E12000005,West Midlands,2015/16,42
E12000006,East,2015/16,49
E12000007,London,2015/16,33
E12000008,South East,2015/16,45
E12000009,South West,2015/16,48
E92000001,England,2015/16,43
E09000001,City of London,2016/17,29
E09000002,Barking and Dagenham,2016/17,25
E09000003,Barnet,2016/17,37
E09000004,Bexley,2016/17,53
E09000005,Brent,2016/17,36
E09000006,Bromley,2016/17,47
E09000007,Camden,2016/17,27
E09000008,Croydon,2016/17,39
E09000009,Ealing,2016/17,51
E09000010,Enfield,2016/17,37
E09000011,Greenwich,2016/17,35
E09000012,Hackney,2016/17,27
E09000013,Hammersmith and Fulham,2016/17,23
E09000014,Haringey,2016/17,36
E09000015,Harrow,2016/17,40
E09000016,Havering,2016/17,37
E09000017,Hillingdon,2016/17,43
E09000018,Hounslow,2016/17,30
E09000019,Islington,2016/17,32
E09000020,Kensington and Chelsea,2016/17,26
E09000021,Kingston upon Thames,2016/17,47
E09000022,Lambeth,2016/17,29
E09000023,Lewisham,2016/17,18
E09000024,Merton,2016/17,36
E09000025,Newham,2016/17,14
E09000026,Redbridge,2016/17,27
E09000027,Richmond upon Thames,2016/17,42
E09000028,Southwark,2016/17,34
E09000029,Sutton,2016/17,37
E09000030,Tower Hamlets,2016/17,28
E09000031,Waltham Forest,2016/17,34
E09000032,Wandsworth,2016/17,22
E09000033,Westminster,2016/17,17
E12000001,North East,2016/17,36
E12000002,North West,2016/17,46
E12000003,Yorkshire and the Humber,2016/17,43
E12000004,East Midlands,2016/17,46
E12000005,West Midlands,2016/17,41
E12000006,East,2016/17,49
E12000007,London,2016/17,33
E12000008,South East,2016/17,46
E12000009,South West,2016/17,48
E92000001,England,2016/17,44
E09000001,City of London,2017/18,29
E09000002,Barking and Dagenham,2017/18,25
E09000003,Barnet,2017/18,37
E09000004,Bexley,2017/18,52
E09000005,Brent,2017/18,37
E09000006,Bromley,2017/18,50
E09000007,Camden,2017/18,30
E09000008,Croydon,2017/18,38
E09000009,Ealing,2017/18,49
E09000010,Enfield,2017/18,36
E09000011,Greenwich,2017/18,35
E09000012,Hackney,2017/18,27
E09000013,Hammersmith and Fulham,2017/18,24
E09000014,Haringey,2017/18,33
E09000015,Harrow,2017/18,41
E09000016,Havering,2017/18,37
E09000017,Hillingdon,2017/18,40
E09000018,Hounslow,2017/18,30
E09000019,Islington,2017/18,29
E09000020,Kensington and Chelsea,2017/18,26
E09000021,Kingston upon Thames,2017/18,48
E09000022,Lambeth,2017/18,30
E09000023,Lewisham,2017/18,22
E09000024,Merton,2017/18,37
E09000025,Newham,2017/18,14
E09000026,Redbridge,2017/18,24
E09000027,Richmond upon Thames,2017/18,42
E09000028,Southwark,2017/18,35
E09000029,Sutton,2017/18,50
E09000030,Tower Hamlets,2017/18,26
E09000031,Waltham Forest,2017/18,32
E09000032,Wandsworth,2017/18,22
E09000033,Westminster,2017/18,19
E12000001,North East,2017/18,35
E12000002,North West,2017/18,45
E12000003,Yorkshire and the Humber,2017/18,42
E12000004,East Midlands,2017/18,44
E12000005,West Midlands,2017/18,40
E12000006,East,2017/18,49
E12000007,London,2017/18,33
E12000008,South East,2017/18,47
E12000009,South West,2017/18,49
E92000001,England,2017/18,43
E09000001,City of London,2018/19,30
E09000002,Barking and Dagenham,2018/19,24
E09000003,Barnet,2018/19,35
E09000004,Bexley,2018/19,54
E09000005,Brent,2018/19,37
E09000006,Bromley,2018/19,50
E09000007,Camden,2018/19,31
E09000008,Croydon,2018/19,47
E09000009,Ealing,2018/19,53
E09000010,Enfield,2018/19,33
E09000011,Greenwich,2018/19,33
E09000012,Hackney,2018/19,28
E09000013,Hammersmith and Fulham,2018/19,24
E09000014,Haringey,2018/19,29
E09000015,Harrow,2018/19,40
E09000016,Havering,2018/19,37
E09000017,Hillingdon,2018/19,37
E09000018,Hounslow,2018/19,31
E09000019,Islington,2018/19,29
E09000020,Kensington and Chelsea,2018/19,27
E09000021,Kingston upon Thames,2018/19,49
E09000022,Lambeth,2018/19,30
E09000023,Lewisham,2018/19,28
E09000024,Merton,2018/19,39
E09000025,Newham,2018/19,17
E09000026,Redbridge,2018/19,25
E09000027,Richmond upon Thames,2018/19,43
E09000028,Southwark,2018/19,35
E09000029,Sutton,2018/19,49
E09000030,Tower Hamlets,2018/19,23
E09000031,Waltham Forest,2018/19,32
E09000032,Wandsworth,2018/19,23
E09000033,Westminster,2018/19,22
E12000001,North East,2018/19,35
E12000002,North West,2018/19,45
E12000003,Yorkshire and the Humber,2018/19,43
E12000004,East Midlands,2018/19,44
E12000005,West Midlands,2018/19,40
E12000006,East,2018/19,49
E12000007,London,2018/19,33
E12000008,South East,2018/19,47
E12000009,South West,2018/19,50
E92000001,England,2018/19,44
